Description,Price,Link
Cherry MX Switch,0.89,https://www.aliexpress.com/item/1005012226589276.html?
Rotary Encoder,0.77,https://www.google.com/aclk?sa=L&ai=DChsSEwiDmf3MwqGVAxVMsgMAHSXIKaQYACICCAEQBhoCb2E&co=1&gclid=CjwKCAjwgO7RBhBKEiwAZNP85rsEmMWYl6g3VWZC5sRsF7ipgr_IHMzRDROKCq-PEOmagNYKbJWF8xoCA8UQAvD_BwE&cid=CAASugHkaLFY9NzucKKfRV9B6g7XEAqV9XkwZMdLsUDu2WDWrsWXZWfksITytF0U-4hzBTNQWbPV-MTb6yh8duZl9zGyLDUE2ipN-ISwgdL_gcXBXNhNxFtpJ2sveYj4UtoBmcYsorckyzbGdYKRD1rP_M9QV_JRDvF--RkA4PA8LLqQ30VgbJ3ZiJvVUGqgRd4tz5SxRPMyOoW_mR5yP6VgMLnE_8iheHBv7Mp09K1dmTv7WgK8nhcIEHBx4jw&cce=1&sig=AOD64_0N9GGjKSBzXkcAyZ8kAby49MiS1g&ctype=5&q=&ved=2ahUKEwiK2PXMwqGVAxUJkGoFHUd8NIgQ5bgDKAB6BAgJEBM&adurl=
Xiao RP2040,0.7,https://www.aliexpress.us/item/3256804273304037.html?
Pair of Magnetic Pogo Conn,6.95,https://www.adafruit.com/product/5359?srsltid=AfmBOor8KTcrTfeKTIR7UJwAWX_A2GndZKXs8cZEw3AKJiq6Li1GPzXb
PCBs,Will Cover,
Total,9.31,
